duration,onset,trial_type
15,10,Finger
15,40,Foot
15,70,Lips
15,100,Finger
15,130,Foot
15,160,Lips
15,190,Finger
15,220,Foot
15,250,Lips
15,280,Finger
15,310,Foot
15,340,Lips
15,370,Finger
15,400,Foot
15,430,Lips
